dateCBASS,CBASSrun,uniquePosition,site,fieldTag,Temp,rack.col,rack.position,F,Fm,Y
2023-06-21T00:00:00Z,2,Run2.B1,K1033,B15,35,Blue,1,0.173,0.2683,0.355
2023-06-21T00:00:00Z,2,Run2.B2,O2263,B44,35,Blue,2,0.1896,0.2204,0.14
2023-06-21T00:00:00Z,2,Run2.B3,U3026-2,B36,35,Blue,3,0.1427,0.1662,0.141
2023-06-21T00:00:00Z,2,Run2.B4,O2263,B47,35,Blue,4,0.1921,0.2175,0.117
2023-06-21T00:00:00Z,2,Run2.B5,U3026-2,B31,35,Blue,5,0.1647,0.1891,0.129
2023-06-21T00:00:00Z,2,Run2.B6,V1523,B74,35,Blue,6,0.1232,0.1867,0.34
2023-06-21T00:00:00Z,2,Run2.B7,V1523,B72,35,Blue,7,0.1383,0.1975,0.3
2023-06-21T00:00:00Z,2,Run2.Y1,U3026-2,B33,32,Yellow,1,0.1373,0.2644,0.481
2023-06-21T00:00:00Z,2,Run2.Y2,U3026-2,B40,32,Yellow,2,0.1349,0.2527,0.466
2023-06-21T00:00:00Z,2,Run2.Y3,U1029-2,B34,32,Yellow,3,0.1623,0.2551,0.364
2023-06-21T00:00:00Z,2,Run2.Y4,U1029-2,B37,32,Yellow,4,0.1334,0.2581,0.483
2023-06-21T00:00:00Z,2,Run2.Y5,S1208,B35,32,Yellow,5,0.1305,0.2507,0.48
2023-06-21T00:00:00Z,2,Run2.Y6,S1208,B32,32,Yellow,6,0.1344,0.26,0.483
2023-06-21T00:00:00Z,2,Run2.Y7,M1218,B69,32,Yellow,7,0.1564,0.2864,0.454
2023-06-21T00:00:00Z,2,Run2.Y8,U1029-2,B79,32,Yellow,8,0.1158,0.2234,0.481
2023-06-21T00:00:00Z,2,Run2.B1,K1033,B15,32,Blue,1,0.1525,0.3006,0.493
2023-06-21T00:00:00Z,2,Run2.B2,O2263,B44,32,Blue,2,0.1667,0.2928,0.431
2023-06-21T00:00:00Z,2,Run2.B3,U3026-2,B36,32,Blue,3,0.1393,0.2605,0.465
2023-06-21T00:00:00Z,2,Run2.B4,O2263,B47,32,Blue,4,0.1696,0.3289,0.484
2023-06-21T00:00:00Z,2,Run2.B5,U3026-2,B31,32,Blue,5,0.1603,0.303,0.471
2023-06-21T00:00:00Z,2,Run2.B6,V1523,B74,32,Blue,6,0.1285,0.2551,0.496
2023-06-21T00:00:00Z,2,Run2.B7,V1523,B72,32,Blue,7,0.13,0.2551,0.49
2023-06-21T00:00:00Z,2,Run2.F1,M1218,B66,32,Florida,1,0.1593,0.2986,0.466
2023-06-21T00:00:00Z,2,Run2.F2,M1218,B64,32,Florida,2,0.1852,0.3343,0.446
2023-06-21T00:00:00Z,2,Run2.F3,M1218,B62,32,Florida,3,0.1608,0.2977,0.46
2023-06-21T00:00:00Z,2,Run2.F4,S1208,B76,32,Florida,4,0.15,0.2732,0.451
2023-06-21T00:00:00Z,2,Run2.F5,S1208,B80,32,Florida,5,0.154,0.2874,0.464
